#fusion_name	JunctionReads	SpanningFrags	LeftGene	LeftBreakpoint	LeftDistFromRefExonSplice	RightGene	RightBreakpoint		RightDistFromRefExonSplice
SYK--PML	7	3	SYK^ENSG00000165025.10	chr9:93627379:+	0	PML^ENSG00000140464.15	chr15:74324913:+		0
PML--SYK	5	3	PML^ENSG00000140464.15	chr15:74317268:+	0	SYK^ENSG00000165025.10	chr9:93636486:+		0
SYK--PML	5	3	SYK^ENSG00000165025.10	chr9:93627379:+	0	PML^ENSG00000140464.15	chr15:74325497:+		0
SYK--PML	4	3	SYK^ENSG00000165025.10	chr9:93629481:+	0	PML^ENSG00000140464.15	chr15:74324913:+		0
PML--SYK	3	3	PML^ENSG00000140464.15	chr15:74317268:+	0	SYK^ENSG00000165025.10	chr9:93636486:+		0
AKR1C1--AKR1E2	3	1	AKR1C1^ENSG00000187134.8	chr10:4951798:+	0	AKR1E2^ENSG00000165568.13	chr10:4872867:+		0
GALNS--MAFG	3	0	GALNS^ENSG00000141012.8	chr16:88898406:-	0	MAFG^ENSG00000197063.6	chr17:79881090:-		0
TAF11--KIAA0196	3	0	TAF11^ENSG00000064995.12	chr6:34850709:-	0	KIAA0196^ENSG00000164961.11	chr8:126040949:-		0
VPS37B--JUND	3	0	VPS37B^ENSG00000139722.2	chr12:123350850:-	0	JUND^ENSG00000130522.4	chr19:18390885:-		0
SYK--PML	2	3	SYK^ENSG00000165025.10	chr9:93627379:+	0	PML^ENSG00000140464.15	chr15:74324913:+		0
EDF1--RABL6	2	1	EDF1^ENSG00000107223.8	chr9:139757740:-	0	RABL6^ENSG00000196642.11	chr9:139717977:+		0
EIF3M--QSER1	2	0	EIF3M^ENSG00000149100.8	chr11:32605475:+	0	QSER1^ENSG00000060749.10	chr11:32948703:+		0
LSP1--PLEC	2	0	LSP1^ENSG00000130592.9	chr11:1874427:+	0	PLEC^ENSG00000178209.10	chr8:145012860:-		0
IRS2--ING1	2	0	IRS2^ENSG00000185950.7	chr13:110434389:-	0	ING1^ENSG00000153487.11	chr13:111371576:+		0
NAMPT--IVNS1ABP	2	0	NAMPT^ENSG00000105835.7	chr7:105912976:-	0	IVNS1ABP^ENSG00000116679.11	chr1:185274775:-		0
CBFA2T3--TCF25	2	0	CBFA2T3^ENSG00000129993.10	chr16:89023999:-	0	TCF25^ENSG00000141002.14	chr16:89964965:+		0
LAPTM5--KLHL24	2	0	LAPTM5^ENSG00000162511.7	chr1:31230506:-	0	KLHL24^ENSG00000114796.11	chr3:183361268:+		0
METTL16--SRSF4	2	0	METTL16^ENSG00000127804.8	chr17:2380980:-	0	SRSF4^ENSG00000116350.11	chr1:29487029:-		0
IER2--HNRNPL	2	0	IER2^ENSG00000160888.6	chr19:13261366:+	0	HNRNPL^ENSG00000104824.12	chr19:39338074:-		0
UBE2J2--RASA3	2	0	UBE2J2^ENSG00000160087.16	chr1:1192372:-	0	RASA3^ENSG00000185989.9	chr13:114762215:-		0
ZRANB1--MARCH6	2	0	ZRANB1^ENSG00000019995.6	chr10:126631876:+	0	MARCH6^ENSG00000145495.10	chr5:10377910:+		0
LYZ--PIKFYVE	2	0	LYZ^ENSG00000090382.2	chr12:69744052:+	0	PIKFYVE^ENSG00000115020.12	chr2:209176960:+		0
REV1--BCL2L11	2	0	REV1^ENSG00000135945.5	chr2:100106279:-	0	BCL2L11^ENSG00000153094.17	chr2:111881310:+		0
EDF1--ZBTB7A	2	0	EDF1^ENSG00000107223.8	chr9:139757740:-	0	ZBTB7A^ENSG00000178951.4	chr19:4055245:-		0
TRA2A--ACTR3	2	0	TRA2A^ENSG00000164548.6	chr7:23561326:-	0	ACTR3^ENSG00000115091.7	chr2:114674461:+		0
